Reform America Fund
Hillary for America
Make America Number One
Rebuilding America Now
NextGen California Action Committee
Women Vote!
Reclaim America PAC
Priorities USA Action
Donald J Trump For President
Kirkpatrick For Senate
Friends of Patrick Murphy
MoveOn.org
Our Principles PAC
Correct The Record
Marco Rubio For Senate 2016
Republican National Cmte
Gary Johnson 2016
Great America PAC
Stop Hillary PAC
National Rifle Assn
Ready for Hillary
Democratic Senatorial Campaign Cmte
Purple PAC
Jill Stein for President
Strickland for Senate
Free the Delegates
NARAL Pro-Choice America
American Bridge 21st Century
Hillary Victory Fund
Democratic National Cmte
Fenton Communications Inc
America Rising PAC
NextGen Climate Action
Save the Day PAC
Future45
Donald J. Trump For President
NRA Institute for Legislative Action
iAmerica Action
Internet Archive
45 Committee
Local Voices
Fifty Second Street Fund
National Republican Senatorial Cmte
American Crossroads
Victory 2016 Committee
