state,winner,Percent margin
NV,Hillary Clinton,2.42
NC,Donald Trump,3.66
FL,Donald Trump,1.19
OH,Donald Trump,8.07
IA,Donald Trump,9.41
PA,Donald Trump,0.72
CO,Hillary Clinton,4.91
WI,Donald Trump,0.76
CA,Hillary Clinton,29.99
AZ,Donald Trump,3.5
NH,Hillary Clinton,0.37
VA,Hillary Clinton,5.32
NY,Hillary Clinton,22.49
